                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0764,                 3.8603,                 1.6957,                 0.0077,                 0.3037,                0.02091,                0.00679,                 1.8007,                 3.6466,                 1.5025,                 0.0982,                 0.0002,                 0.0002
                      1,                 2.1736,                 3.8814,                 1.8063,                0.00783,                  0.327,                0.02332,                0.00749,                 1.7779,                 3.6375,                 1.4844,               0.095498,             0.00049835,             0.00049835
                      2,                 2.1122,                  3.904,                 1.7839,                0.00798,                0.32755,                0.02405,                0.00762,                 1.7287,                 3.6087,                 1.4614,               0.092795,             0.00079472,             0.00079472
                      3,                 1.8193,                  3.815,                 1.5476,                0.00893,                 0.4357,                0.03798,                0.01566,                 1.5383,                 3.4433,                 1.3077,               0.090089,              0.0010891,              0.0010891
                      4,                 1.5652,                 3.6857,                 1.4281,                0.01129,                0.60183,                0.05515,                0.02735,                 1.1558,                 3.3319,                 1.0859,               0.087382,              0.0013815,              0.0013815
                      5,                 1.2222,                 3.5773,                  1.182,                0.01144,                0.63217,                0.07973,                0.04616,                 1.0231,                 3.2942,                 1.0182,               0.084672,               0.001672,               0.001672
                      6,                 1.1502,                 3.5149,                 1.1545,                0.01356,                 0.7852,                  0.126,                0.07632,                0.88789,                 3.2387,                0.95122,                0.08196,              0.0019604,              0.0019604
                      7,                0.97677,                 3.3347,                 1.0716,                0.01302,                0.79753,                0.15588,                0.10402,                0.85338,                 3.2289,                 0.9367,               0.079247,              0.0022469,              0.0022469
                      8,                0.91051,                 3.1318,                 1.0344,                0.01324,                0.83315,                0.20193,                0.13916,                0.74844,                 3.1696,                0.90062,               0.076531,              0.0025314,              0.0025314
                      9,                0.88683,                 2.8901,                 1.0329,                0.01336,                0.85283,                0.21749,                 0.1606,                0.71587,                 3.1364,                0.89088,               0.073814,              0.0028139,              0.0028139
                     10,                0.84984,                 2.5345,                 1.0409,                 0.0134,                0.81837,                0.26866,                0.21057,                0.71636,                  3.057,                 0.9027,               0.071094,              0.0030944,              0.0030944
                     11,                0.90368,                 2.1479,                 1.0495,                 0.0144,                0.83993,                0.30428,                0.22991,                0.75381,                 2.9688,                0.93158,               0.068373,              0.0033729,              0.0033729
                     12,                 0.8631,                 1.9996,                 1.0575,                0.01393,                0.85794,                0.35085,                0.27104,                0.69183,                 2.8272,                0.92181,                0.06565,              0.0036495,              0.0036495
                     13,                0.89021,                 1.9809,                 1.0533,                0.01385,                0.87027,                 0.3757,                0.28948,                0.68165,                  2.751,                 0.9297,               0.062924,              0.0039241,              0.0039241
                     14,                0.84566,                 1.8255,                 1.0068,                0.01329,                0.84965,                0.41918,                0.31781,                0.72806,                 2.8185,                0.94667,               0.060197,              0.0041967,              0.0041967
                     15,                0.82483,                 1.6368,                 1.0287,                0.01316,                 0.8337,                0.41883,                 0.3412,                0.65467,                  2.843,                0.91335,               0.057467,              0.0044673,              0.0044673
                     16,                0.92163,                  1.501,                 1.0574,                0.01259,                0.67568,                0.31913,                0.25723,                0.75327,                 3.0081,                 1.0197,               0.054736,               0.004736,               0.004736
                     17,                0.86658,                 1.4944,                0.98738,                0.01331,                0.69826,                0.39697,                0.30379,                0.81964,                 2.8881,                 1.0451,               0.052003,              0.0050027,              0.0050027
                     18,                0.93258,                 1.4476,                 1.0292,                0.60369,                0.32993,                0.45434,                0.37203,                0.69362,                 2.7012,                0.95234,               0.049267,              0.0052674,              0.0052674
                     19,                0.82198,                 1.2944,                 1.0083,                 0.7982,                0.07208,                0.47574,                0.37989,                0.72163,                 2.5835,                0.96998,                0.04653,              0.0055301,              0.0055301
                     20,                0.83244,                 1.4119,                  1.016,                 0.7003,                0.13833,                0.51116,                0.41951,                0.65374,                 2.5774,                0.91397,               0.043791,              0.0057908,              0.0057908
                     21,                0.88498,                 1.2982,                0.99251,                0.70317,                 0.2208,                0.52678,                0.40698,                0.83106,                 2.5344,                0.98226,                0.04105,              0.0060495,              0.0060495
                     22,                0.87647,                 1.3092,                 1.0216,                0.64223,                0.25734,                0.52946,                0.44057,                0.64174,                 2.4278,                0.92811,               0.038306,              0.0063063,              0.0063063
                     23,                0.87688,                 1.3167,                 1.0247,                0.64962,                0.19988,                0.48689,                0.37009,                0.78768,                 2.6864,                  1.014,               0.035561,              0.0065611,              0.0065611
                     24,                0.83771,                 1.2416,                 1.0501,                0.60808,                0.41641,                0.60573,                0.48653,                 0.6496,                 2.3779,                0.93401,               0.032814,              0.0068139,              0.0068139
                     25,                 0.8582,                 1.2613,                0.99886,                0.61336,                0.47569,                0.66312,                0.52136,                0.78003,                 2.3556,                0.95677,               0.030065,              0.0070648,              0.0070648
                     26,                 0.8527,                 1.4142,                 1.0542,                0.61373,                0.44566,                0.61259,                0.49332,                0.65106,                 2.3037,                0.91923,               0.027314,              0.0073136,              0.0073136
                     27,                0.83188,                 1.2521,                 1.0247,                0.65207,                0.54861,                 0.6385,                0.52781,                0.67272,                 2.1455,                 0.9219,                0.02456,              0.0075605,              0.0075605
                     28,                0.82861,                  1.191,                0.99274,                0.65207,                0.54861,                 0.6385,                0.52781,                0.67272,                 2.1455,                 0.9219,               0.021805,              0.0078054,              0.0078054
                     29,                0.82212,                 1.1467,                0.97504,                 0.6358,                 0.6321,                0.72737,                0.58486,                0.71099,                 1.7723,                0.93596,               0.019048,              0.0080483,              0.0080483
                     30,                0.90022,                 1.2242,                 1.0165,                0.60365,                0.71291,                0.71828,                 0.5607,                0.76555,                 1.4375,                0.97079,               0.016289,              0.0082892,              0.0082892
                     31,                 0.9527,                 1.1764,                 1.0452,                0.59512,                0.75351,                0.75007,                0.58364,                0.76287,                  1.558,                0.97402,               0.013528,              0.0085281,              0.0085281
                     32,                0.90106,                 1.2401,                  1.028,                0.59512,                0.75351,                0.75007,                0.58364,                0.76287,                  1.558,                0.97402,               0.010765,              0.0087651,              0.0087651
                     33,                0.91284,                 1.1893,                 1.0031,                0.57338,                0.66616,                0.68876,                0.53256,                0.77763,                 1.9292,                 0.9883,               0.008911,               0.008911,               0.008911
                     34,                0.91102,                  1.198,                 1.0607,                0.59787,                0.59146,                0.69897,                0.53959,                0.76383,                 1.8947,                0.99338,               0.008911,               0.008911,               0.008911
                     35,                0.88716,                 1.1789,                 1.0038,                0.69539,                0.70923,                0.75601,                0.60826,                0.73186,                 1.2448,                0.95759,               0.008878,               0.008878,               0.008878
                     36,                 0.9107,                 1.0627,                0.98521,                0.69539,                0.70923,                0.75601,                0.60826,                0.73186,                 1.2448,                0.95759,               0.008845,               0.008845,               0.008845
                     37,                0.87475,                 1.0704,                 1.0154,                0.70595,                0.58893,                0.67194,                0.52949,                0.80107,                 1.5231,                 1.0253,               0.008812,               0.008812,               0.008812
                     38,                0.83307,                 1.0692,                0.98572,                0.63139,                0.66252,                0.65618,                0.51829,                 0.8131,                 1.6258,                 1.0141,               0.008779,               0.008779,               0.008779
                     39,                0.98022,                 1.1796,                  1.019,                0.59134,                0.57356,                0.57905,                0.44048,                0.87005,                 1.8613,                 1.0519,               0.008746,               0.008746,               0.008746
                     40,                0.90444,                 1.2293,                 1.0242,                0.59134,                0.57356,                0.57905,                0.44048,                0.87005,                 1.8613,                 1.0519,               0.008713,               0.008713,               0.008713
                     41,                0.86089,                 1.0794,                0.99971,                0.51348,                0.63039,                0.59081,                0.46519,                0.82066,                 1.5274,                 1.0192,                0.00868,                0.00868,                0.00868
                     42,                0.90037,                 1.1959,                 1.0282,                0.56014,                0.56237,                0.56672,                0.43478,                0.83872,                 1.9291,                  1.065,               0.008647,               0.008647,               0.008647
                     43,                0.85919,                 1.2028,                 1.0149,                0.47561,                0.57941,                0.58608,                0.43945,                 0.8132,                 1.7064,                 1.0126,               0.008614,               0.008614,               0.008614
                     44,                0.93909,                 1.1344,                 1.0118,                0.47561,                0.57941,                0.58608,                0.43945,                 0.8132,                 1.7064,                 1.0126,               0.008581,               0.008581,               0.008581
                     45,                0.88453,                 1.1917,                 1.0305,                0.41741,                0.53435,                0.52052,                0.37254,                0.86105,                  1.999,                 1.0734,               0.008548,               0.008548,               0.008548
