                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0942,                 4.6172,                   1.72,                      0,                      0,                      0,                      0,                 1.7955,                 4.2609,                 1.5058,                 0.0982,                 0.0002,                 0.0002
                      1,                  2.209,                 4.6123,                  1.846,                      0,                      0,                      0,                      0,                 1.7857,                 4.2548,                 1.4966,               0.095495,             0.00049505,             0.00049505
                      2,                 2.0435,                  4.635,                 1.7423,                      0,                      0,                      0,                      0,                 1.6951,                  4.197,                 1.4347,               0.092784,             0.00078416,             0.00078416
                      3,                 1.8642,                 4.5462,                 1.5859,                      0,                      0,                      0,                      0,                 1.5276,                 4.0838,                  1.302,               0.090067,              0.0010673,              0.0010673
                      4,                 1.5818,                 4.4314,                 1.4449,                      0,                      0,                      0,                      0,                 1.0695,                 4.0099,                 1.0726,               0.087345,              0.0013446,              0.0013446
                      5,                 1.2549,                 4.2998,                 1.1931,                      0,                      0,                      0,                      0,                0.95685,                 3.9903,                 1.0059,               0.084616,              0.0016158,              0.0016158
                      6,                 1.1393,                 4.2527,                  1.159,                      0,                      0,                      0,                      0,                0.86555,                 3.9255,                0.95524,               0.081881,              0.0018812,              0.0018812
                      7,                 1.0773,                 4.0936,                 1.1149,                      0,                      0,                      0,                      0,                0.88146,                 3.8844,                0.95315,               0.079141,              0.0021406,              0.0021406
                      8,                0.95945,                 3.8381,                  1.043,                0.26797,                0.06902,                 0.1707,                0.14077,                 0.8334,                 3.8447,                0.94657,               0.076394,              0.0023941,              0.0023941
                      9,                0.95503,                 3.6144,                 1.0403,                 0.2036,                0.19024,                0.19765,                0.15835,                0.82368,                 3.7937,                0.93608,               0.073642,              0.0026416,              0.0026416
                     10,                0.86519,                 3.2241,                 1.0257,                0.11127,                0.30783,                0.24362,                0.19961,                0.75136,                 3.6012,                0.90258,               0.070883,              0.0028832,              0.0028832
                     11,                 0.9708,                 2.7763,                 1.0479,                0.08615,                0.36473,                 0.2701,                0.20501,                0.82232,                 3.4534,                0.94842,               0.068119,              0.0031189,              0.0031189
